_id,approver,approval,skills,status
6615416cf18a366646f021a0,Jared Mcclain Jr.,Darlene Silva,Angular,pending
6615416cf18a366646f021a1,Katrina Scott,Paul Washington,Power BI,pending
6615416cf18a366646f021a2,John Bryant,Lisa Gutierrez,Snowflake,deny
6615416cf18a366646f021a3,Ross Chambers,Anna Mitchell,React,pending
6615416cf18a366646f021a4,Theresa Roman,Elizabeth Christensen,React,approved
6615416df18a366646f021a5,Patricia James,Michelle Reid,Presenting,pending
6615416df18a366646f021a6,Christine Thompson,Brittany Harrison,Power BI,approved
6615416df18a366646f021a7,Jeanette Johnson,Carolyn Kim,Presenting,deny
6615416df18a366646f021a8,Tiffany Rivera,Kirk Henderson,Project Mgmt,approved
6615416df18a366646f021a9,Peter Contreras,Brian Lewis,Slides,deny
6615416df18a366646f021aa,Eric Riley,David Hunt,Snowflake,approved
6615416df18a366646f021ab,Philip Deleon,Michele Butler,Presenting,deny
6615416df18a366646f021ac,Daniel Bowers,Sherry Stanley,ADF,deny
6615416df18a366646f021ad,Michael Martin,Amber Carter,AWS Lambda,approved
6615416df18a366646f021ae,Desiree Martin,Dana Jones,Python,pending
6615416df18a366646f021af,Gavin Lee,Laurie Leon,Python,pending
6615416df18a366646f021b0,Ryan Sanchez,Alan Barnes,Power BI,deny
6615416df18a366646f021b1,James Wright,Daniel Brown,Presenting,pending
6615416df18a366646f021b2,Wayne Montgomery,Stephanie Barnes,Presenting,pending
6615416df18a366646f021b3,Paul Cervantes,Teresa Santos,Power BI,pending
6615416df18a366646f021b4,Michelle Williams,Phillip Hernandez,React Native,approved
6615416df18a366646f021b5,Todd Johnson,Julia Smith,Power BI,deny
6615416df18a366646f021b6,Virginia Montgomery,Tiffany Morgan,PHP,approved
6615416df18a366646f021b7,Brandon Beard,Mike Johnson,PHP,approved
6615416df18a366646f021b8,John Mack,Ronnie Watts,Snowflake,pending
6615416df18a366646f021b9,Michael Briggs,Mary Brown DVM,Slides,deny
6615416df18a366646f021ba,Brianna Garner,Dale Smith,Project Mgmt,deny
6615416df18a366646f021bb,Yolanda Jones,Aaron Walton,PHP,approved
6615416df18a366646f021bc,James Valentine,Amy Jenkins,ADF,approved
6615416df18a366646f021bd,Lindsey Smith,Gabriel Gaines,Project Mgmt,pending
6615416df18a366646f021be,Raymond Callahan,Jamie Ross,Snowflake,deny
6615416df18a366646f021bf,Hannah Garcia,Kim Mora,Python,pending
6615416df18a366646f021c0,Kenneth Lawson,Robert Jordan,Slides,pending
6615416df18a366646f021c1,Wesley Kelley,Angelica Harris,Presenting,approved
6615416df18a366646f021c2,Jesse Valentine,Roy Curry,Project Mgmt,approved
6615416df18a366646f021c3,Lawrence Dudley,Jody Cooper,React Native,deny
6615416df18a366646f021c4,Sarah Mejia,Melissa Jacobs,React Native,deny
6615416df18a366646f021c5,Robert Davis,Amber Ramsey,Snowflake,approved
6615416df18a366646f021c6,Brittany Baird,Mary Taylor,Angular,pending
6615416df18a366646f021c7,Ronald Wilson,Andrew Delgado,AWS,deny
6615416df18a366646f021c8,Darrell Anderson,Lisa Farrell,PHP,pending
6615416df18a366646f021c9,Megan Miller,Mr. David Poole,ADF,approved
6615416df18a366646f021ca,Melissa Perez,Angelica White,Python,pending
6615416df18a366646f021cb,Richard Garcia,Jay Hart,Slides,pending
6615416df18a366646f021cc,Joseph Cline,Stacy Buchanan,AWS Lambda,pending
6615416df18a366646f021cd,Rachel Hayes,Dr. Jennifer Richardson,ADF,approved
6615416df18a366646f021ce,Dustin Frazier,Kendra Snyder,Power BI,approved
6615416df18a366646f021cf,Ryan Gonzalez,Michael Myers,Python,pending
6615416df18a366646f021d0,Kelsey Peck PhD,Victoria Bryant,React Native,approved
6615416df18a366646f021d1,Michael Proctor,Michael Hays,Project Mgmt,pending
6615416df18a366646f021d2,Jennifer Grant,Hannah Kaufman,React Native,deny
6615416df18a366646f021d3,David Page,Jeffrey Stevens,AWS,pending
6615416df18a366646f021d4,Joyce Dudley,Ronald Herrera,Alteryx,pending
6615416df18a366646f021d5,Taylor Johnson,Rachel Carter,Project Mgmt,approved
6615416df18a366646f021d6,Sarah Kelly,Andrea Medina,Snowflake,pending
6615416df18a366646f021d7,Craig Roy MD,Alex Brown MD,ADF,deny
6615416df18a366646f021d8,Maria Anderson,Jessica Hogan,Python,deny
6615416df18a366646f021d9,Andrew Gomez,Stephen Lawson DVM,PHP,deny
6615416df18a366646f021da,Michael Sawyer,Travis Dean,AWS Lambda,pending
6615416df18a366646f021db,Benjamin Hernandez,Barry Deleon,Project Mgmt,pending
6615416df18a366646f021dc,Jamie Ross,Denise Wells,Snowflake,pending
6615416df18a366646f021dd,Nicole Drake,Joshua Perez,Snowflake,approved
6615416df18a366646f021de,Michael Briggs,Barbara Watson,Angular,deny
6615416df18a366646f021df,Zachary King,Luke Coffey,React,pending
6615416df18a366646f021e0,Carol Henderson,Michael Wolfe,Project Mgmt,deny
6615416df18a366646f021e1,Angel Hodges,Kelsey Peck PhD,Angular,deny
6615416df18a366646f021e2,Robert Gallagher,Randy Stewart,AWS,deny
6615416df18a366646f021e3,Sarah Daniels,Brandon Beard,Python,approved
6615416df18a366646f021e4,Steven Obrien,Adam Meyer,Slides,pending
6615416df18a366646f021e5,Anthony Wallace,Ricky Pope,Python,deny
6615416df18a366646f021e6,Katie Douglas,Jamie Barrera,ADF,deny
6615416df18a366646f021e7,Casey Griffin,Nina Sullivan,PHP,pending
6615416df18a366646f021e8,Joshua Sanchez,Mary Russell,ADF,approved
6615416df18a366646f021e9,James Cross Jr.,Paul Warren,Slides,deny
6615416df18a366646f021ea,Amy Williams,Rachel Gibbs,Angular,deny
6615416df18a366646f021eb,Larry Romero,Joshua Robinson,React,deny
6615416df18a366646f021ec,Cynthia Singleton,Jason Warner,Power BI,deny
6615416df18a366646f021ed,Victoria Bryant,Brittany Garcia,PHP,approved
6615416df18a366646f021ee,Brian Li,Dennis Jackson,React Native,pending
6615416df18a366646f021ef,David Cross,Joyce Dudley,Project Mgmt,pending
6615416df18a366646f021f0,Joseph Baker,Teresa Ortiz,AWS,approved
6615416df18a366646f021f1,Shannon Smith,Michael Myers,React,pending
6615416df18a366646f021f2,Pamela Perry,Ronald Wilson,PHP,pending
6615416df18a366646f021f3,Kelsey Peck PhD,Sonya Delgado,Slides,deny
6615416df18a366646f021f4,Robert Allen,Lisa Mitchell,Snowflake,deny
6615416df18a366646f021f5,Claudia Silva,James Valentine,Slides,deny
6615416df18a366646f021f6,Jason Wilkins,Cassie Erickson,PHP,approved
6615416df18a366646f021f7,Andrew Taylor,Mark Brown,Alteryx,pending
6615416df18a366646f021f8,Austin Watson,Joshua Jacobson,AWS,approved
6615416df18a366646f021f9,Dr. Mary Tran,Daniel Walls,Power BI,deny
6615416df18a366646f021fa,Carlos Davidson,Gabriel Gaines,PHP,pending
6615416df18a366646f021fb,Kyle Sanchez,Phillip Michael,AWS Lambda,approved
6615416df18a366646f021fc,Mary Clark,Austin Watson,Angular,pending
6615416df18a366646f021fd,Chelsea Rivera,John Barnes,PHP,approved
6615416df18a366646f021fe,Hannah Mullen,Christine Johnson,Snowflake,deny
6615416df18a366646f021ff,Connie Gaines,Mr. Harry Clark,Alteryx,deny
6615416df18a366646f02200,Christopher Mendoza,Amy Robertson,Python,approved
6615416df18a366646f02201,Joseph Price,Christian Cabrera,Slides,deny
6615416df18a366646f02202,Mrs. Erika Evans PhD,Adam Miller,Project Mgmt,deny
6615416df18a366646f02203,Ashley Cruz,Hannah Kaufman,Power BI,approved
6615416df18a366646f02204,Joseph Reyes,Michelle Lopez DDS,Python,pending
6615416df18a366646f02205,Tiffany Castaneda,Karen Monroe,React Native,deny
6615416df18a366646f02206,Seth Stewart,Samantha Hebert,PHP,deny
6615416df18a366646f02207,Amy Horton,Daniel Peterson,React Native,approved
6615416df18a366646f02208,Mr. Benjamin Perkins,Gwendolyn Owens,PHP,pending
6615416df18a366646f02209,Andrew Henson,Timothy Lawson,Angular,approved
6615416df18a366646f0220a,Roy Curry,Erin Graham,Angular,deny
6615416df18a366646f0220b,Tina Thomas,Ryan Chapman,Python,approved
6615416df18a366646f0220c,Nancy Cortez,Jamie Ross,Snowflake,approved
6615416df18a366646f0220d,Gabriel Gaines,Kevin Beard,AWS,approved
6615416df18a366646f0220e,Angela Castro,Ashley Nichols,AWS,pending
6615416df18a366646f0220f,Corey Gomez,Christopher Torres,Angular,approved
6615416df18a366646f02210,Christopher Ortiz,Nicholas Ortiz,Python,approved
6615416df18a366646f02211,Wayne Taylor,Sarah Gonzalez,Angular,deny
6615416df18a366646f02212,Cassie Erickson,Todd Johnson,React,pending
6615416df18a366646f02213,Alexander Webster,Patrick Bonilla,Project Mgmt,deny
6615416df18a366646f02214,Bradley Graham,James Cross Jr.,AWS,approved
6615416df18a366646f02215,Rebecca Dixon,Tina Brennan,PHP,pending
6615416df18a366646f02216,Roberto Miller,Gabriel Thompson,Snowflake,approved
6615416df18a366646f02217,Juan Thompson,David Payne,AWS Lambda,deny
6615416df18a366646f02218,Marie Watson,Scott Gonzalez,Alteryx,approved
6615416df18a366646f02219,Tiffany Castaneda,John Baker,Angular,approved
6615416df18a366646f0221a,Scott Atkins,Christine Thompson,Alteryx,pending
6615416df18a366646f0221b,Michael Davis,Jennifer Hall,Angular,deny
6615416df18a366646f0221c,Douglas Atkinson,Heather Washington,Angular,deny
6615416df18a366646f0221d,Jane Thompson,Samuel Frye,Project Mgmt,deny
6615416df18a366646f0221e,Virginia Hicks,Brandi Walker,Power BI,deny
6615416df18a366646f0221f,Marie Watson,Felicia Scott,Presenting,pending
6615416df18a366646f02220,George Lee,Clifford Miller,AWS Lambda,approved
6615416ef18a366646f02221,Christopher Davis,Ronald Herrera,Alteryx,deny
6615416ef18a366646f02222,Katie Rice,Danielle Flores,Python,approved
6615416ef18a366646f02223,Shannon Miller,Melissa Jacobs,Snowflake,pending
6615416ef18a366646f02224,David Mathews,Jared Mcclain Jr.,Project Mgmt,approved
6615416ef18a366646f02225,Gary Ford,William Rodriguez,Angular,approved
6615416ef18a366646f02226,Zachary King,Kaylee Harper,Alteryx,approved
6615416ef18a366646f02227,Victor Bowman,Jill Bond,React,approved
6615416ef18a366646f02228,Katherine Romero,Joy Reyes,Power BI,pending
6615416ef18a366646f02229,Sydney Romero,Brittany Garcia,React Native,pending
6615416ef18a366646f0222a,Denise Gonzalez,Sarah Mills,PHP,pending
6615416ef18a366646f0222b,Jason Sanchez,Vanessa Rivera,Python,deny
6615416ef18a366646f0222c,Eduardo Meadows,Alexandria Sandoval,Presenting,deny
6615416ef18a366646f0222d,Anna Russell DDS,Barbara Dodson,Python,pending
6615416ef18a366646f0222e,Lisa Cervantes,Rachel Lee,Slides,approved
6615416ef18a366646f0222f,Donald Carr,Daniel Walls,React,pending
6615416ef18a366646f02230,Jessica Knox,Christopher Rodriguez,Power BI,approved
6615416ef18a366646f02231,Mike Johnson,Melissa Campos,React Native,approved
6615416ef18a366646f02232,Richard Davis,Taylor Lara,Project Mgmt,deny
6615416ef18a366646f02233,Monica Lewis,Joseph Cline,AWS,pending
6615416ef18a366646f02234,Deanna Warren,Christopher Mosley,Slides,approved
6615416ef18a366646f02235,Keith Best,Amber Williams,Project Mgmt,deny
6615416ef18a366646f02236,Pamela Price,Debra Stewart,AWS,pending
6615416ef18a366646f02237,David Francis,Peter Contreras,Project Mgmt,approved
6615416ef18a366646f02238,Teresa Herman,Katrina Peters,AWS Lambda,approved
6615416ef18a366646f02239,Angela Houston,Patrick Thompson,Presenting,approved
6615416ef18a366646f0223a,Kenneth Lawson,John Molina,Alteryx,deny
6615416ef18a366646f0223b,Monica Lewis,Rachel Hayes,Slides,approved
6615416ef18a366646f0223c,Carol Henderson,Daniel Hall,Python,deny
6615416ef18a366646f0223d,Phillip Hernandez,Susan Arnold,React Native,deny
6615416ef18a366646f0223e,Donna Burton,Lisa Cervantes,Slides,approved
6615416ef18a366646f0223f,Rachel Gibbs,Peter Hawkins,Angular,deny
6615416ef18a366646f02240,Molly Nolan,Melissa Gross,Power BI,approved
6615416ef18a366646f02241,Emily Hill,Sara Parker,React,deny
6615416ef18a366646f02242,Devon Briggs,Lisa Cervantes,PHP,pending
6615416ef18a366646f02243,Ryan Chapman,Carol Henderson,AWS,approved
6615416ef18a366646f02244,Michael Brock,Karen Jackson,Presenting,deny
6615416ef18a366646f02245,Lisa Brown,Virginia Hicks,AWS,approved
6615416ef18a366646f02246,George Barnes,Stephanie Roberts,Snowflake,approved
6615416ef18a366646f02247,Alexander Andrews,Lauren Moss,Project Mgmt,approved
6615416ef18a366646f02248,Chloe Crawford,Tyler Young,Angular,deny
6615416ef18a366646f02249,Glenn Kane,Amy Maxwell,Angular,approved
6615416ef18a366646f0224a,Richard Davis,Ronald Rodriguez,Snowflake,approved
6615416ef18a366646f0224b,Robert Flores DDS,Alan Watson,Alteryx,deny
6615416ef18a366646f0224c,Alyssa Campbell,Angela White,React,deny
6615416ef18a366646f0224d,James Waters,Jeffrey Garcia,ADF,deny
6615416ef18a366646f0224e,Michael Welch,Pamela Price,Slides,deny
6615416ef18a366646f0224f,Yvette Gordon,Lisa Mitchell,Angular,approved
6615416ef18a366646f02250,Paul Chen,Carrie Wallace,Python,approved
6615416ef18a366646f02251,Eric Tyler,Michael Miller,AWS,approved
6615416ef18a366646f02252,Seth Savage,George Barnes,React Native,approved
6615416ef18a366646f02253,Savannah Gregory,Brent Walters,PHP,approved
6615416ef18a366646f02254,Kristy Clements,Cynthia Singleton,Angular,pending
6615416ef18a366646f02255,Daniel Walls,Pamela Perry,Power BI,pending
6615416ef18a366646f02256,Grant Harris,Henry Hall,Presenting,pending
6615416ef18a366646f02257,Raymond Callahan,Curtis Nelson,Presenting,approved
6615416ef18a366646f02258,Kyle Sanchez,Anthony Wallace,Alteryx,deny
6615416ef18a366646f02259,Stephanie Campos,Paul Cervantes,AWS Lambda,approved
6615416ef18a366646f0225a,Brandon Walsh,Julia Smith,Angular,deny
6615416ef18a366646f0225b,Paul Washington,Daniel Hall,Alteryx,pending
6615416ef18a366646f0225c,Daniel Martinez,Rebecca Hunt,AWS,deny
6615416ef18a366646f0225d,Dillon Gordon,Brenda Patterson,AWS,deny
6615416ef18a366646f0225e,Melissa Manning,Rachel Lee,Python,deny
6615416ef18a366646f0225f,Jessica Lucas,Joyce Dudley,React,deny
6615416ef18a366646f02260,Peter Hawkins,Angel Hodges,ADF,deny
6615416ef18a366646f02261,Erin Fuller,Tina Brennan,React Native,deny
6615416ef18a366646f02262,Raymond Odom,James Wright,React,approved
6615416ef18a366646f02263,Diane Bell,Elizabeth Stewart,Slides,deny
6615416ef18a366646f02264,Paige Valencia,Paul Clark,Power BI,deny
6615416ef18a366646f02265,Bryce Lopez,Joseph Reyes,AWS,pending
6615416ef18a366646f02266,Ricky Holland,Lisa Obrien,PHP,deny
6615416ef18a366646f02267,Joyce Dudley,Jacob Jackson,Python,approved
6615416ef18a366646f02268,Christopher Young,Austin Watson,Python,approved
6615416ef18a366646f02269,Tracey Whitaker,Benjamin Hanson,Presenting,deny
6615416ef18a366646f0226a,Michael Martin,Robert Flores DDS,Presenting,deny
6615416ef18a366646f0226b,Austin Peterson,Michelle Lopez DDS,Project Mgmt,pending
6615416ef18a366646f0226c,Faith Ryan,Jamie Ross,React Native,approved
6615416ef18a366646f0226d,Dr. Caitlin Nash,Paul Kelley,Snowflake,approved
6615416ef18a366646f0226e,John Pitts,Robert Schultz,React Native,pending
6615416ef18a366646f0226f,Melissa Perez,Maureen White,Angular,pending
6615416ef18a366646f02270,Rita Chapman,John Miller,React,deny
6615416ff18a366646f02271,Laura Miller,Adam Meyer,PHP,pending
6615416ff18a366646f02272,Crystal Morales,Mariah Liu,Presenting,approved
6615416ff18a366646f02273,Bobby Robinson,Marcus Gray,ADF,approved
6615416ff18a366646f02274,William Jordan II,Victoria Henson,Angular,deny
6615416ff18a366646f02275,Paige Valencia,Hannah Kaufman,React,approved
6615416ff18a366646f02276,Daniel Marshall,Randy Stewart,Project Mgmt,approved
6615416ff18a366646f02277,Deborah Thompson DDS,Dustin Frazier,Slides,pending
6615416ff18a366646f02278,Alex Brown MD,Jordan Young,Project Mgmt,deny
6615416ff18a366646f02279,Gina Johnson,Damon Bryan,AWS Lambda,approved
6615416ff18a366646f0227a,Katherine Stewart,Faith Ryan,ADF,pending
6615416ff18a366646f0227b,Jill Ferguson,Rachel Villarreal,Power BI,approved
6615416ff18a366646f0227c,Isaac Skinner,Austin Peterson,Slides,pending
6615416ff18a366646f0227d,Alexander Andrews,Jamie Williams,Power BI,pending
6615416ff18a366646f0227e,Jacqueline Willis,Melissa Reynolds,Power BI,deny
6615416ff18a366646f0227f,Katherine Nash,Stephanie Roberts,PHP,pending
6615416ff18a366646f02280,Haley Sexton,Stephen Lawson DVM,AWS Lambda,deny
6615416ff18a366646f02281,Sherry Stanley,Michael Martinez,Angular,pending
6615416ff18a366646f02282,Melissa Morris,Mrs. Miranda Finley,React,approved
6615416ff18a366646f02283,Daniel Walls,Angela Castro,AWS,pending
6615416ff18a366646f02284,Scott Atkins,Anthony Sanchez,AWS,deny
6615416ff18a366646f02285,Rebecca Francis,Christopher Mosley,Python,pending
6615416ff18a366646f02286,Paul Warren,Nancy Cortez,Project Mgmt,deny
6615416ff18a366646f02287,Bill Baxter,Scott Foley,AWS Lambda,pending
6615416ff18a366646f02288,Chelsea Rivera,Dr. Don Johnson,Presenting,deny
6615416ff18a366646f02289,Mr. Vincent Faulkner Jr.,Lisa Brown,React,deny
6615416ff18a366646f0228a,Susan Duncan,Tyler Carter,Project Mgmt,approved
6615416ff18a366646f0228b,Ann Mack,John Norris,Slides,approved
6615416ff18a366646f0228c,Christina Graves,Shannon Miller,Power BI,approved
6615416ff18a366646f0228d,Seth Stewart,Lisa Mitchell,ADF,deny
6615416ff18a366646f0228e,Nancy Ferguson,Robert Barajas,Angular,approved
6615416ff18a366646f0228f,Elizabeth Galloway,Michael Davis,Snowflake,approved
6615416ff18a366646f02290,Aaron Turner,Cassie Erickson,React Native,deny
6615416ff18a366646f02291,Michael Solis,Daniel Martinez,AWS,pending
6615416ff18a366646f02292,Charles Parker,Marie Rodriguez,React Native,approved
6615416ff18a366646f02293,Jessica Lucas,Jeanette Johnson,Slides,approved
6615416ff18a366646f02294,Joseph Beltran,Keith Best,React Native,approved
6615416ff18a366646f02295,Daniel White,Peter Contreras,Angular,deny
6615416ff18a366646f02296,Stacey Browning,Matthew Reyes,AWS,deny
6615416ff18a366646f02297,Mary Berry,Audrey Arnold,AWS Lambda,approved
6615416ff18a366646f02298,Glenn Kane,Todd Hill,Python,approved
6615416ff18a366646f02299,Haley Hicks,Tim Jackson,AWS Lambda,deny
6615416ff18a366646f0229a,Glenn Kane,Tony Hobbs,PHP,approved
6615416ff18a366646f0229b,Belinda Brown,Larry Romero,Alteryx,deny
6615416ff18a366646f0229c,Deanna Yoder,Bryce Lopez,Alteryx,approved
6615416ff18a366646f0229d,Jacob Lee,Angela Wilkins,AWS Lambda,pending
6615416ff18a366646f0229e,James Howell,Erin Lewis,Alteryx,pending
6615416ff18a366646f0229f,Douglas Atkinson,Donna Burton,Power BI,approved
6615416ff18a366646f022a0,Carrie Hamilton,Dennis Jackson,Alteryx,pending
6615416ff18a366646f022a1,Mrs. Lisa Suarez,Ariel Peterson,Power BI,approved
6615416ff18a366646f022a2,Misty Boyle,Jamie Barrera,AWS,approved
6615416ff18a366646f022a3,Christopher Mendoza,Pamela Cook,Presenting,pending
6615416ff18a366646f022a4,Jessica Shannon,Katrina Peters,React,pending
6615416ff18a366646f022a5,Cynthia Leonard,Philip Brown,React Native,approved
6615416ff18a366646f022a6,Hannah Ashley,Tony Moore,AWS,approved
6615416ff18a366646f022a7,Angela Cline,Deanna Yoder,React,deny
6615416ff18a366646f022a8,Joe Bray,William Black,PHP,approved
6615416ff18a366646f022a9,Carrie Black,Roy Curry,Slides,deny
6615416ff18a366646f022aa,Cameron Valencia,Jacob Jackson,Alteryx,pending
6615416ff18a366646f022ab,Keith Best,Bryan Proctor,Python,pending
6615416ff18a366646f022ac,Shannon Smith,Laurie Weeks,Python,pending
6615416ff18a366646f022ad,Janet Burch,Tina Smith,Power BI,approved
6615416ff18a366646f022ae,Nathan James DDS,Madeline Price DVM,React Native,approved
6615416ff18a366646f022af,Scott Atkins,Raymond Callahan,AWS,approved
6615416ff18a366646f022b0,Chad Weaver,Paula Garcia,Project Mgmt,deny
6615416ff18a366646f022b1,Ryan Wolfe,Alyssa Campbell,React,deny
6615416ff18a366646f022b2,George Lee,April Brown,PHP,pending
6615416ff18a366646f022b3,Peter Hawkins,Lauren Moss,Presenting,deny
6615416ff18a366646f022b4,Joe Bray,Kimberly Harris,React Native,approved
6615416ff18a366646f022b5,Russell Howard,Ann Mack,Power BI,deny
6615416ff18a366646f022b6,Anna Mitchell,Paul Cruz,React Native,approved
6615416ff18a366646f022b7,Shannon Smith,Janet Williams,ADF,pending
6615416ff18a366646f022b8,Kendra Snyder,Brandi Brown,React Native,deny
6615416ff18a366646f022b9,Brianna Garner,Nancy Ferguson,Slides,pending
6615416ff18a366646f022ba,David Mathews,Douglas Scott,Power BI,approved
6615416ff18a366646f022bb,James Owens,Mathew Weeks,Snowflake,deny
6615416ff18a366646f022bc,Austin Ramirez,Walter Thomas,Alteryx,deny
6615416ff18a366646f022bd,Deborah Thompson DDS,Dustin Frazier,AWS,pending
6615416ff18a366646f022be,Tina Brennan,Rachel Villarreal,AWS,approved
6615416ff18a366646f022bf,Mitchell Lopez,Stephanie Nichols,PHP,approved
6615416ff18a366646f022c0,Michael Henderson,Connie Mitchell,Project Mgmt,pending
66154170f18a366646f022c1,Rebecca Davis,Jamie Barrera,React Native,deny
66154170f18a366646f022c2,Derrick Romero,Joshua Jacobson,Power BI,approved
66154170f18a366646f022c3,Leslie Decker,Jose Callahan,Alteryx,pending
66154170f18a366646f022c4,Michelle Williams,Jessica Webster,Python,deny
66154170f18a366646f022c5,William Hill,Eric Wilson,React,pending
66154170f18a366646f022c6,Daniel Walls,Angela Leon,Power BI,pending
66154170f18a366646f022c7,Jill Ferguson,Ann Garcia,Presenting,pending
66154170f18a366646f022c8,Steven Schultz,Anthony Cook,Slides,pending
66154170f18a366646f022c9,Levi Miller MD,Paul Barry,React,approved
66154170f18a366646f022ca,Andrew Delgado,Raymond Little,Power BI,pending
66154170f18a366646f022cb,Melissa Morris,Nicole Drake,Power BI,approved
66154170f18a366646f022cc,Mrs. Meagan Ware,Zachary King,Slides,pending
66154170f18a366646f022cd,Michael Jackson MD,Grant Harris,Presenting,pending
66154170f18a366646f022ce,Gary Allen,Amber Carter,Alteryx,approved
66154170f18a366646f022cf,Cassandra Reynolds,Jacqueline Rivera,AWS Lambda,approved
66154170f18a366646f022d0,Vanessa Roberts,Brett Ryan,AWS Lambda,pending
66154170f18a366646f022d1,Victoria Bryant,Cameron Valencia,Slides,deny
66154170f18a366646f022d2,Patricia James,Miguel Holmes,Snowflake,deny
66154170f18a366646f022d3,Randy Stewart,Pamela Rice,React,approved
66154170f18a366646f022d4,Mark Schwartz,Robert Jordan,Slides,deny
66154170f18a366646f022d5,Mr. Mario Walker,Ashlee Pace,Presenting,pending
66154170f18a366646f022d6,Walter Thomas,Mrs. Lisa Suarez,React,pending
66154170f18a366646f022d7,Christine Lewis,Dillon Gordon,Power BI,approved
66154170f18a366646f022d8,Jessica Marsh,Brandon Beard,PHP,approved
66154170f18a366646f022d9,Katelyn Ford,Nicholas Henson,AWS Lambda,pending
66154170f18a366646f022da,Linda Boyd,Jaime Rogers,Power BI,deny
66154170f18a366646f022db,Heather Arias,James Wright,ADF,deny
66154170f18a366646f022dc,Amanda Gibson,Tyler Brown,React,pending
66154170f18a366646f022dd,Tammy Sparks,Katelyn Ford,AWS Lambda,deny
66154170f18a366646f022de,Ashley Ayala,Thomas Stone,Project Mgmt,deny
66154170f18a366646f022df,Nicholas Ortiz,Ryan Johnson,Alteryx,deny
66154170f18a366646f022e0,Carrie Hamilton,Belinda Hicks,Snowflake,pending
66154170f18a366646f022e1,Michael Davis,Christopher Young,AWS,pending
66154170f18a366646f022e2,David Payne,Kevin Palmer,Python,deny
66154170f18a366646f022e3,Lawrence Dudley,Phillip Johnson,React Native,deny
66154170f18a366646f022e4,Barbara Davis,Jacqueline Rubio,Alteryx,approved
66154170f18a366646f022e5,Jason Lewis,Christine Lewis,React Native,pending
66154170f18a366646f022e6,William Jordan II,Cameron Diaz,Python,pending
66154170f18a366646f022e7,Amanda Gibson,Jessica Salas,ADF,pending
66154170f18a366646f022e8,Christopher Hernandez,Cory Kim,Snowflake,pending
66154170f18a366646f022e9,Levi Miller MD,Phillip Johnson,Project Mgmt,approved
66154170f18a366646f022ea,Mr. Joseph Palmer,Carol Davis,Angular,pending
66154170f18a366646f022eb,Benjamin Gillespie,Cesar Davis,React,deny
66154170f18a366646f022ec,Henry Smith,Maureen White,React,pending
66154170f18a366646f022ed,Lisa Graves,Misty Boyle,React Native,approved
